degree_type,technical_skills,soft_skills,cgpa,projects,internships,communication_level,technical_skill_level,years_of_experience,specialization,project_exp,package
5,3,6,2,9,0,5,1,1,3,9,14.57
4,2,4,3,5,2,5,5,1,6,5,17.94
3,9,6,1,0,4,5,3,4,6,0,14.28
7,13,8,2,5,3,1,4,1,5,5,17.33
2,2,6,1,10,5,4,3,1,6,10,18.72
6,7,10,3,3,1,1,2,2,2,6,11.34
5,16,8,1,2,1,5,3,0,1,0,13.26
3,15,7,2,9,2,4,1,4,1,36,14.23
5,11,3,3,10,0,5,4,1,3,10,18.3
4,1,1,2,7,2,5,3,0,1,0,14.02
6,7,9,2,10,1,4,5,5,1,50,13.82
7,20,9,3,9,2,2,2,0,5,0,17.83
6,8,6,2,5,0,3,4,0,1,0,15.3
1,10,2,2,0,0,4,3,4,4,0,15.04
2,5,8,2,5,3,1,1,3,4,15,14.07
1,9,10,1,6,4,2,3,3,4,18,17.31
3,1,6,2,5,3,4,1,3,5,15,15.68
5,2,7,2,2,1,3,5,2,4,4,14.05
3,19,1,2,10,2,5,2,2,2,20,16.15
7,14,3,1,8,0,3,4,4,4,32,15.33
4,20,1,2,9,0,3,3,0,4,0,13.57
6,10,10,2,9,0,4,3,3,3,27,14.59
1,9,1,1,3,5,5,4,1,4,3,16.52
7,6,4,3,4,5,3,2,4,4,16,17.48
1,17,7,2,2,1,4,5,3,6,6,17.64
7,6,7,1,1,4,5,4,1,2,1,12.71
6,20,6,1,6,5,1,3,1,5,6,17.0
5,3,2,3,4,3,3,2,4,3,16,14.4
4,19,5,3,0,5,2,5,3,5,0,15.41
5,18,7,3,9,0,3,2,4,4,36,14.27
3,4,9,3,0,0,4,3,5,6,0,11.97
4,8,6,1,7,2,5,5,1,4,7,15.97
1,17,10,3,3,0,5,5,3,4,9,16.51
2,5,4,1,3,3,1,5,2,1,6,15.91
3,13,3,2,8,2,5,3,4,1,32,13.65
3,1,9,3,1,2,5,1,2,3,2,15.11
6,13,7,2,4,0,2,3,5,3,20,15.03
5,4,6,3,5,2,3,1,2,5,10,17.05
3,3,8,2,9,0,4,3,1,4,9,12.69
1,5,5,1,2,4,2,2,5,1,10,14.9
1,7,3,3,9,0,2,3,2,5,18,13.18
4,1,3,1,5,5,1,5,4,4,20,15.92
7,12,2,1,9,4,4,2,1,3,9,13.8
7,11,8,2,9,0,2,4,5,6,45,13.25
2,8,1,3,4,3,3,4,1,1,4,14.83
7,6,8,1,7,5,4,4,5,1,35,17.87
2,19,9,1,9,5,1,5,3,5,27,14.67
4,20,2,1,9,0,1,1,4,5,36,9.9
1,20,10,2,2,3,5,5,3,2,6,15.92
7,14,9,3,5,1,3,1,1,1,5,13.72
5,1,6,1,9,5,3,4,4,2,36,14.17
1,10,1,1,8,1,1,3,2,6,16,12.23
6,16,5,3,7,0,3,3,4,1,28,13.83
1,4,10,2,9,5,4,5,2,2,18,18.86
6,11,9,3,7,3,5,4,2,6,14,19.46
6,16,6,2,2,3,5,4,1,4,2,13.79
6,20,7,2,0,5,4,1,3,2,0,13.6
4,1,4,2,2,2,2,1,3,2,6,12.14
6,16,1,2,2,2,3,4,2,5,4,13.12
6,19,5,3,5,5,2,5,3,6,15,20.14
5,9,2,3,2,4,2,5,4,5,8,15.5
2,9,8,2,1,2,3,4,2,2,2,12.71
2,17,1,2,5,2,3,3,0,1,0,14.58
5,13,7,3,2,0,4,4,3,4,6,16.88
5,16,3,1,6,4,2,5,0,3,0,14.74
6,18,9,3,3,3,2,2,4,6,12,14.01
5,1,9,2,9,2,2,2,1,6,9,15.47
7,1,2,3,1,5,1,4,1,4,1,16.86
5,12,3,3,1,5,2,1,4,4,4,15.77
6,6,9,2,7,1,5,2,3,6,21,14.68
4,9,1,1,3,3,3,5,5,6,15,14.14
7,5,2,3,6,0,2,5,1,4,6,16.67
5,16,2,3,2,5,1,5,5,1,10,17.49
3,18,10,2,8,2,2,2,5,4,40,15.33
5,18,10,3,8,1,3,5,3,4,24,19.46
1,19,10,2,6,2,3,4,0,2,0,15.35
6,8,2,2,0,0,2,4,4,1,0,13.89
3,3,8,2,9,3,5,4,0,6,0,19.41
1,5,8,3,7,1,2,3,5,6,35,15.15
5,8,8,3,1,0,3,4,5,4,5,13.82
1,19,2,2,7,1,4,4,4,5,28,12.79
7,18,9,3,10,2,4,2,1,3,10,17.86
2,18,7,3,1,3,4,3,5,6,5,13.59
6,18,8,3,7,5,5,1,3,2,21,19.29
4,7,9,2,3,2,5,4,4,3,12,14.64
5,16,6,2,9,4,3,2,3,5,27,15.38
6,15,9,3,5,5,2,2,3,1,15,18.29
4,9,2,3,10,0,3,2,0,2,0,14.68
5,7,1,1,9,1,5,5,2,4,18,14.29
7,14,3,3,0,2,2,2,1,5,0,13.21
1,11,5,1,8,0,1,1,4,4,32,11.81
1,16,7,2,10,5,1,2,2,2,20,18.01
4,6,10,2,6,0,5,1,2,2,12,11.94
1,16,10,2,4,2,3,2,1,4,4,15.47
2,20,3,3,5,1,4,2,2,3,10,17.14
4,16,9,3,2,4,1,5,2,6,4,17.16
4,12,10,2,8,2,1,2,1,6,8,13.57
6,17,4,3,1,1,2,4,2,1,2,15.02
1,5,10,2,9,4,5,5,4,2,36,20.21
7,13,2,2,0,3,1,5,3,5,0,12.06
2,12,3,3,1,2,1,2,3,4,3,12.15
6,9,5,1,5,5,5,4,4,5,20,17.79
5,3,4,1,5,1,2,2,5,4,25,14.43
7,3,10,1,8,0,3,5,2,5,16,12.01
4,1,3,2,9,0,2,3,2,1,18,13.2
3,12,8,1,7,2,5,1,5,4,35,13.19
2,9,4,2,3,2,5,5,2,2,6,13.94
2,9,9,3,2,5,1,3,3,3,6,14.96
5,18,5,2,0,3,3,2,0,6,0,16.52
3,7,3,1,8,5,1,2,3,5,24,13.27
1,4,5,3,10,0,5,2,0,1,0,15.23
1,13,5,2,4,3,2,3,3,6,12,14.32
7,17,4,3,6,2,3,2,4,5,24,17.64
2,2,6,3,2,0,5,5,3,2,6,17.13
6,14,3,3,4,5,3,5,3,1,12,17.17
6,3,10,1,9,2,2,5,1,2,9,12.79
1,5,1,2,3,5,3,4,5,5,15,15.5
7,14,7,1,6,2,1,5,2,5,12,12.86
7,3,7,3,4,1,1,2,2,5,8,12.19
7,7,4,3,1,0,2,4,5,1,5,16.65
3,18,9,3,2,2,5,4,2,2,4,15.69
5,13,2,3,7,4,4,4,0,3,0,19.21
3,10,1,2,2,4,4,4,4,3,8,16.19
4,13,3,2,6,5,4,3,0,5,0,19.52
4,16,7,2,4,2,5,5,1,4,4,14.21
5,9,9,2,6,1,1,3,1,3,6,12.16
1,2,2,3,9,5,1,1,5,2,45,13.92
5,5,6,3,8,2,1,3,3,2,24,17.49
6,17,3,2,6,4,2,4,1,1,6,15.72
4,4,5,3,5,0,1,5,1,2,5,17.23
2,9,3,2,3,2,1,2,1,6,3,14.14
1,20,1,2,7,4,4,3,3,6,21,16.28
3,18,1,2,5,4,1,1,0,2,0,12.36
6,11,8,1,1,5,3,1,0,3,0,13.46
2,13,7,2,8,1,1,3,0,6,0,12.23
2,8,2,3,7,5,4,2,3,4,21,20.41
4,1,9,1,8,3,4,1,4,5,32,15.99
6,17,5,3,8,2,3,2,3,6,24,16.49
6,12,7,3,1,5,4,3,0,6,0,16.89
2,4,4,3,1,0,2,5,3,3,3,14.01
3,13,1,2,8,1,5,2,3,3,24,15.43
1,9,8,3,1,1,5,1,3,4,3,15.45
7,7,1,2,3,3,1,2,2,1,6,12.12
1,5,3,1,1,3,4,5,3,4,3,14.83
6,5,6,3,0,2,5,5,4,1,0,18.45
1,17,8,2,10,5,3,1,2,4,20,16.65
2,6,2,2,6,5,3,2,5,4,30,15.22
6,16,4,3,4,1,5,1,1,6,4,17.73
7,2,4,3,2,5,5,2,0,4,0,19.04
7,10,2,1,7,2,5,3,2,1,14,16.66
4,16,1,3,4,2,3,4,1,4,4,19.0
6,5,10,3,0,3,3,1,0,2,0,13.41
3,15,7,2,8,1,1,5,4,6,32,12.88
1,13,10,3,4,4,2,1,1,6,4,14.41
6,13,3,1,2,4,5,3,4,6,8,15.3
5,13,4,2,5,0,1,3,4,5,20,12.76
4,15,9,1,7,3,3,5,1,4,7,13.24
5,14,6,2,1,0,2,5,1,1,1,13.97
2,8,1,2,10,1,4,5,2,4,20,15.35
7,11,9,3,2,4,2,4,4,4,8,17.86
1,18,9,3,6,4,1,3,1,3,6,14.32
6,4,5,2,1,4,2,5,4,3,4,17.34
5,10,8,3,10,0,3,3,3,3,30,18.15
1,1,7,2,10,2,2,4,3,5,30,18.29
2,5,8,3,4,0,3,4,3,4,12,16.07
7,13,9,1,8,4,2,3,4,6,32,16.07
3,1,2,3,6,3,1,5,4,6,24,14.84
4,8,10,3,2,3,4,1,1,2,2,16.6
1,3,5,3,1,5,5,2,1,1,1,18.06
1,3,8,3,9,0,2,3,2,3,18,14.07
3,7,3,2,8,5,4,4,2,5,16,17.88
1,4,6,3,8,5,2,5,2,2,16,18.68
2,3,6,2,8,0,4,2,5,5,40,14.43
2,15,7,1,9,5,3,3,0,6,0,14.89
3,8,3,3,2,1,4,1,3,1,6,15.2
4,3,8,3,0,0,5,1,4,4,0,15.58
6,7,8,2,8,5,4,4,5,6,40,18.7
5,18,9,1,6,5,5,4,3,6,18,15.73
6,11,8,2,1,0,5,4,4,3,4,15.82
5,17,6,1,10,5,5,1,0,6,0,15.08
3,6,9,1,8,2,5,1,4,5,32,16.92
3,8,1,2,7,4,3,4,2,4,14,18.03
5,10,2,3,5,4,3,5,3,3,15,15.58
2,19,8,2,5,4,1,1,3,2,15,12.62
5,3,6,3,7,1,1,4,3,6,21,13.75
1,4,10,3,8,5,3,4,0,3,0,19.42
7,15,2,2,0,4,3,5,3,3,0,13.97
7,1,6,2,1,4,5,1,1,3,1,13.24
7,9,7,2,5,2,3,1,2,5,10,14.2
7,13,5,2,3,1,4,3,0,2,0,13.91
6,16,3,3,1,1,3,5,4,3,4,17.06
4,4,2,2,9,3,4,2,4,5,36,16.11
6,1,8,3,0,1,5,5,2,2,0,16.67
7,20,1,2,9,3,2,2,5,4,45,14.28
1,1,6,2,6,0,1,2,1,5,6,10.89
6,5,2,3,8,1,4,5,0,3,0,18.46
5,5,3,3,1,2,2,3,0,6,0,14.79
5,14,8,3,9,3,5,1,0,5,0,15.26
6,14,1,3,4,0,1,5,1,4,4,14.46
7,8,6,1,1,5,2,1,0,2,0,15.23
5,4,3,3,9,0,5,2,3,4,27,14.72
1,7,6,1,6,1,4,4,1,2,6,12.67
2,20,3,2,8,2,5,4,4,5,32,17.06
7,19,8,2,2,1,5,5,3,2,6,15.52
1,15,5,2,0,4,5,2,5,3,0,14.69
4,4,4,3,3,0,3,2,4,1,12,12.46
1,19,9,3,3,4,2,1,0,5,0,13.66
7,9,5,2,10,4,5,2,1,6,10,14.92
4,13,4,3,5,3,1,3,5,4,25,14.17
7,14,8,2,4,4,3,4,3,4,12,18.58
5,14,8,1,4,0,5,3,1,5,4,11.64
2,10,8,1,8,0,5,3,1,6,8,13.35
7,16,4,3,10,2,2,1,5,5,50,18.08
7,5,1,1,0,1,3,2,1,3,0,13.99
5,6,2,2,7,2,5,1,4,1,28,12.95
3,2,4,1,7,2,5,4,1,1,7,15.7
5,13,10,2,10,1,4,1,0,3,0,15.57
5,19,10,2,2,3,1,1,2,6,4,14.61
5,18,3,1,9,4,2,2,1,5,9,17.63
5,1,9,2,1,4,5,2,4,6,4,14.85
7,8,9,1,7,1,3,3,4,6,28,14.51
3,8,1,1,3,5,2,2,5,3,15,12.07
2,6,3,2,8,5,1,2,1,3,8,17.41
4,16,8,2,8,1,4,4,5,6,40,17.46
6,11,4,2,9,4,5,5,0,6,0,15.53
2,17,10,2,8,5,2,4,2,2,16,15.17
2,19,10,2,9,3,3,1,5,3,45,15.39
3,11,2,2,5,3,3,4,1,6,5,15.73
7,8,8,3,0,3,1,4,1,2,0,17.69
1,11,10,3,8,3,1,1,4,1,32,15.61
1,8,9,2,7,2,1,1,5,1,35,14.15
2,9,2,2,0,5,5,3,2,1,0,15.8
5,2,5,3,5,3,4,2,4,6,20,16.98
6,6,2,2,8,2,2,3,2,2,16,12.87
5,19,2,3,6,2,5,3,1,6,6,18.12
5,8,10,3,6,5,4,4,0,1,0,16.91
4,14,4,3,3,2,5,1,0,1,0,14.57
7,16,8,3,6,1,3,2,4,1,24,15.53
2,12,5,3,9,2,5,2,3,5,27,17.11
2,19,4,2,10,5,3,2,2,3,20,17.28
1,9,10,1,4,3,3,3,4,1,16,14.1
2,2,8,2,0,1,5,3,0,6,0,12.5
1,20,1,3,1,3,3,5,3,4,3,18.68
1,12,9,2,8,0,1,2,4,1,32,13.81
2,10,9,2,9,4,2,5,1,4,9,18.43
3,1,8,2,10,1,3,5,5,2,50,18.11
6,4,3,2,1,2,4,3,3,3,3,12.95
5,12,3,2,8,1,5,1,5,2,40,13.77
1,9,9,2,2,2,2,1,1,3,2,12.64
4,4,3,3,1,3,1,2,5,4,5,12.82
4,9,4,1,6,1,4,1,2,1,12,14.7
6,6,9,1,8,1,4,2,3,4,24,14.3
4,1,4,3,10,4,1,4,0,1,0,15.17
3,10,3,2,5,0,5,5,1,2,5,18.12
4,14,7,2,6,1,5,5,2,1,12,16.36
5,18,6,1,2,3,3,2,1,1,2,15.51
5,6,1,2,10,2,1,2,3,5,30,14.84
1,18,10,3,2,3,1,2,5,4,10,15.28
2,20,8,3,7,5,1,5,1,3,7,18.14
3,15,4,1,4,4,2,5,4,6,16,13.67
1,16,6,3,5,5,5,5,0,6,0,20.82
3,8,6,2,8,1,3,3,1,6,8,12.83
2,13,7,2,2,0,3,3,4,4,8,13.08
4,7,5,3,10,1,1,4,0,5,0,18.69
7,17,4,3,5,0,3,1,3,4,15,14.02
2,18,6,3,10,3,2,2,3,3,30,17.81
1,19,7,3,7,2,4,5,4,1,28,17.42
6,1,1,3,2,2,1,5,2,4,4,14.83
7,5,8,3,3,4,5,3,0,4,0,14.69
7,3,7,2,8,2,5,4,0,4,0,15.42
1,10,9,3,5,4,1,2,4,4,20,18.17
3,19,3,2,9,3,1,2,5,3,45,16.1
6,5,10,3,3,4,5,1,0,4,0,18.11
1,7,4,2,3,2,1,3,2,5,6,12.47
2,14,7,3,9,2,5,1,0,2,0,17.0
2,3,6,1,4,1,1,3,4,3,16,10.51
2,13,2,3,6,5,5,3,1,5,6,18.81
2,13,2,2,6,4,2,2,1,6,6,17.25
3,10,10,1,9,3,1,4,4,6,36,16.46
6,2,7,1,6,1,5,4,1,3,6,12.43
4,6,9,3,4,1,1,5,5,2,20,14.24
5,8,9,1,8,3,5,3,0,4,0,16.55
3,4,7,1,1,1,5,2,4,3,4,14.35
3,12,8,3,7,3,4,3,4,4,28,16.61
4,15,10,3,9,0,1,5,4,4,36,15.29
4,8,3,2,7,1,2,2,1,6,7,12.81
5,7,1,2,2,2,3,3,3,2,6,12.29
5,14,7,2,4,0,3,4,1,4,4,14.78
4,19,8,3,7,1,1,4,4,3,28,16.68
3,13,9,3,8,0,5,4,5,6,40,17.63
1,1,4,2,6,5,2,3,3,4,18,14.35
5,19,10,3,3,0,1,5,4,1,12,15.4
5,1,9,1,3,2,3,1,5,1,15,12.31
4,4,3,1,2,1,2,5,1,1,2,15.06
6,10,8,3,10,1,1,4,2,6,20,16.27
1,3,2,1,7,3,1,2,4,6,28,12.0
1,20,3,2,5,0,1,5,0,3,0,16.15
5,9,1,3,9,2,4,3,2,3,18,18.61
2,3,5,2,5,3,2,5,2,5,10,13.66
6,6,4,1,9,5,1,4,1,4,9,13.57
1,6,1,3,9,3,2,5,1,1,9,15.72
5,12,10,3,8,2,3,3,5,6,40,18.72
1,1,9,3,10,1,1,3,3,5,30,14.76
7,16,6,2,2,2,5,4,4,3,8,15.76
6,5,6,2,3,1,1,3,5,2,15,13.3
6,9,2,1,2,4,1,4,3,6,6,15.07
7,10,7,3,2,0,2,5,3,2,6,16.23
3,13,9,2,0,2,2,5,2,2,0,13.88
7,15,6,3,9,5,4,1,1,1,9,17.55
4,12,8,2,5,5,1,4,2,6,10,14.78
4,5,5,2,8,3,3,2,4,5,32,16.43
5,5,2,3,4,1,2,4,3,5,12,15.51
6,18,4,3,9,0,4,5,3,6,27,15.8
3,3,1,3,9,0,5,3,5,1,45,18.01
1,7,6,3,3,2,4,1,3,4,9,16.28
1,17,2,3,5,3,5,2,1,2,5,17.05
7,19,6,3,6,5,1,1,1,5,6,15.23
3,18,1,3,6,2,2,4,3,6,18,16.86
7,1,10,3,3,3,3,4,4,3,12,16.73
7,5,3,1,9,4,5,5,2,3,18,16.9
6,1,2,1,4,1,2,2,0,6,0,10.59
7,7,8,1,3,2,1,3,1,4,3,12.21
2,11,6,2,9,2,1,2,0,3,0,16.76
6,11,6,1,5,5,2,1,0,4,0,15.71
3,18,7,3,10,4,5,5,0,6,0,21.66
3,17,5,3,6,5,5,3,3,6,18,20.03
7,2,4,1,1,4,1,4,3,2,3,13.61
6,7,6,2,9,5,4,5,0,6,0,17.9
1,7,8,3,2,2,5,2,3,4,6,14.01
4,3,5,3,7,4,3,4,0,5,0,17.85
3,12,7,3,6,4,3,4,5,3,30,16.5
5,3,6,3,0,3,4,2,2,3,0,13.9
1,12,4,2,4,4,3,3,2,2,8,15.06
6,20,1,3,9,3,4,2,1,5,9,17.82
4,18,5,2,9,2,4,1,3,4,27,13.19
3,4,8,3,9,2,5,1,2,4,18,15.61
1,6,7,2,6,0,3,5,1,2,6,15.54
6,1,3,2,8,0,4,5,5,6,40,17.17
3,3,1,3,1,1,2,2,3,5,3,14.46
5,5,7,2,3,3,4,3,5,3,15,16.21
6,17,3,3,0,4,4,1,4,5,0,17.68
5,9,5,3,7,3,5,4,2,2,14,15.58
5,3,8,3,6,0,1,1,4,6,24,13.56
2,13,7,3,7,3,4,1,3,1,21,14.91
6,11,3,1,5,5,3,5,5,5,25,18.8
5,2,10,3,4,4,4,3,1,6,4,15.42
3,19,10,3,4,2,5,5,4,5,16,19.1
7,16,1,2,8,5,3,1,4,3,32,17.73
7,18,2,1,3,4,1,2,1,4,3,13.5
6,7,2,2,4,5,1,3,5,5,20,14.29
7,4,9,1,5,2,5,4,1,4,5,15.44
1,9,8,2,2,3,2,4,2,4,4,14.08
7,10,4,2,10,4,3,1,2,4,20,17.15
2,15,10,2,5,2,4,3,0,2,0,16.66
5,8,5,1,0,5,2,3,1,3,0,13.75
1,19,9,1,8,4,2,1,0,4,0,15.8
5,11,8,1,4,3,1,5,0,3,0,15.2
6,10,10,2,9,0,2,4,5,5,45,16.19
4,16,3,1,8,1,4,3,4,1,32,12.15
7,13,10,1,8,1,3,3,2,3,16,16.28
4,8,8,2,6,1,5,2,0,6,0,16.36
2,9,1,3,3,2,1,3,1,4,3,14.31
6,11,4,2,3,2,2,2,3,5,9,12.64
1,11,4,1,6,1,1,3,3,4,18,13.74
5,16,6,2,7,4,2,2,2,4,14,16.07
7,10,2,2,6,0,3,5,2,5,12,13.21
3,12,7,1,10,2,4,4,1,5,10,13.97
1,6,5,3,9,5,1,3,1,2,9,17.87
7,12,10,2,3,3,3,1,5,2,15,15.59
4,10,6,1,3,3,3,2,5,2,15,11.79
4,18,6,3,7,2,5,2,1,3,7,17.23
1,18,6,3,8,1,3,2,3,6,24,17.29
4,4,10,3,6,4,5,3,3,6,18,15.37
6,9,8,2,2,0,3,4,1,3,2,13.12
2,7,10,2,9,3,4,1,0,2,0,17.74
5,18,4,2,0,2,3,2,5,6,0,12.72
2,8,10,3,4,4,4,2,0,2,0,15.25
5,9,4,3,8,0,3,1,3,5,24,15.36
2,8,1,3,4,3,2,2,0,3,0,13.4
1,3,3,2,0,3,5,1,5,2,0,14.28
2,2,7,3,10,2,2,2,2,3,20,18.92
3,14,4,3,1,1,1,1,5,4,5,14.52
1,18,1,2,3,1,2,5,2,3,6,12.68
6,16,2,3,6,2,5,1,0,3,0,18.23
3,4,5,2,2,3,5,2,0,2,0,13.07
6,20,7,2,2,5,4,3,0,3,0,13.88
6,6,3,3,10,1,4,1,2,1,20,18.2
7,6,8,2,3,4,3,3,1,1,3,16.03
5,11,5,2,6,2,2,2,4,4,24,16.23
5,3,5,3,4,4,2,1,2,5,8,16.84
6,3,2,2,7,1,3,5,4,1,28,15.66
7,11,9,3,6,4,3,5,2,6,12,20.55
1,15,10,1,3,5,4,2,3,5,9,16.61
7,5,2,1,7,5,2,1,0,3,0,15.91
2,16,4,1,3,5,5,3,1,1,3,17.57
3,16,8,1,9,0,3,4,4,4,36,15.16
6,17,2,3,6,5,3,2,1,4,6,17.3
5,9,4,2,1,0,3,2,3,5,3,9.91
2,3,10,3,10,4,4,5,3,2,30,21.28
7,20,1,3,4,4,2,4,4,6,16,15.12
1,13,2,3,3,2,3,2,1,3,3,12.56
2,3,7,2,8,3,4,4,0,3,0,16.15
1,6,1,3,8,5,2,4,2,5,16,18.61
7,9,2,3,10,3,5,5,1,4,10,19.94
3,12,4,3,9,0,2,5,3,4,27,17.54
6,15,7,1,6,5,3,3,4,2,24,17.22
7,20,4,1,1,0,5,1,2,6,2,13.23
5,10,4,3,1,2,5,4,1,3,1,16.2
2,1,4,2,4,2,2,5,4,5,16,13.47
1,19,6,3,6,0,1,5,1,2,6,13.51
1,13,3,2,1,0,1,1,2,6,2,13.12
2,12,6,2,3,0,2,5,0,3,0,14.52
4,1,7,2,8,2,5,3,0,6,0,17.59
2,19,7,2,7,5,1,2,4,3,28,14.08
5,16,8,2,9,0,4,5,0,1,0,16.62
3,15,4,3,1,1,4,3,3,6,3,15.61
7,16,1,3,3,4,1,3,1,6,3,14.96
1,11,6,3,3,1,1,2,2,1,6,16.09
5,6,8,3,1,5,3,1,2,5,2,16.17
4,15,4,3,10,5,1,3,2,2,20,16.9
1,1,8,3,3,3,3,2,2,4,6,15.21
7,7,6,3,7,5,5,3,1,6,7,16.59
2,1,5,2,3,2,3,5,4,5,12,13.99
3,9,10,1,4,4,4,3,2,1,8,17.44
7,13,3,3,0,3,1,1,0,4,0,13.15
6,11,7,2,8,4,1,3,0,2,0,14.99
4,20,9,3,7,5,1,3,5,2,35,14.97
3,6,4,2,0,3,3,5,4,6,0,13.92
6,1,10,3,2,4,3,1,2,1,4,14.77
5,20,1,2,6,4,2,1,4,1,24,13.26
7,19,9,3,0,1,5,1,0,3,0,14.11
1,17,1,1,0,0,2,1,2,2,0,10.56
4,4,2,3,9,1,2,4,5,5,45,15.92
6,3,9,2,5,2,2,5,2,6,10,17.17
1,1,5,3,4,3,2,4,5,2,20,16.76
2,18,4,1,2,5,3,3,5,6,10,14.24
3,8,9,2,3,1,2,4,1,3,3,13.32
2,1,2,3,10,1,2,3,4,2,40,18.0
2,20,3,2,9,5,1,4,1,6,9,19.23
3,14,3,3,1,4,3,1,4,5,4,14.38
2,5,3,1,3,5,1,2,3,2,9,15.83
7,13,10,1,9,2,4,3,1,3,9,12.96
6,15,6,3,2,2,2,4,2,4,4,14.4
1,6,2,3,9,5,5,4,1,4,9,17.36
2,1,6,2,10,2,4,4,1,6,10,16.51
6,19,6,2,6,4,4,3,0,2,0,16.13
5,13,2,1,8,1,4,4,4,2,32,13.46
6,16,6,3,4,1,3,5,2,3,8,18.68
3,16,5,2,0,5,5,4,2,4,0,15.6
1,10,7,2,10,2,1,4,4,1,40,17.88
4,9,5,3,6,2,2,2,3,5,18,14.73
5,9,1,2,0,5,1,2,4,1,0,11.57
3,17,9,3,9,3,4,1,2,4,18,14.75
4,17,3,3,8,4,1,1,3,2,24,16.43
6,17,2,2,3,3,1,5,3,5,9,16.06
5,13,6,3,0,1,2,5,5,5,0,17.2
3,12,8,3,4,5,1,4,1,3,4,18.73
4,14,2,2,2,4,5,4,5,1,10,13.34
4,10,4,1,3,2,2,2,5,6,15,10.73
5,19,2,2,3,4,4,3,0,6,0,13.19
7,2,9,2,7,2,5,5,1,3,7,17.49
5,19,2,3,9,0,4,4,3,2,27,15.25
4,7,10,3,2,4,4,5,1,2,2,15.74
2,15,2,2,0,0,5,4,2,6,0,13.05
3,15,5,3,4,0,1,1,3,4,12,14.46
5,6,5,1,1,1,4,2,4,3,4,10.45
7,3,7,1,10,2,2,1,3,4,30,15.41
4,6,1,2,5,5,2,5,2,3,10,14.93
6,16,2,1,3,0,5,1,0,3,0,12.72
4,2,6,2,8,3,2,5,1,6,8,14.82
6,7,2,3,6,1,3,3,0,6,0,13.95
5,11,4,2,1,2,1,2,5,1,5,11.8
6,7,10,3,6,1,4,3,0,4,0,16.55
1,4,6,2,9,3,4,4,1,2,9,14.61
1,20,7,1,7,5,5,2,0,5,0,15.71
1,7,10,2,2,2,5,1,5,1,10,14.0
7,4,5,3,2,4,4,5,2,4,4,17.24
2,5,6,3,1,1,5,4,4,3,4,14.4
7,19,5,3,0,5,3,3,1,5,0,19.26
5,5,4,3,2,4,5,4,0,5,0,17.56
4,19,6,1,9,2,2,1,1,1,9,15.59
4,3,6,3,10,3,1,5,5,5,50,16.75
2,11,6,2,6,3,3,5,0,1,0,14.53
7,7,1,3,10,4,5,1,2,5,20,15.56
6,17,6,2,8,0,1,5,3,1,24,15.25
2,9,1,1,8,0,1,2,4,1,32,14.73
6,9,5,2,5,5,4,2,4,5,20,14.57
6,10,7,2,5,0,2,1,1,4,5,13.92
3,13,1,2,10,4,4,1,4,6,40,16.97
4,15,1,3,4,4,2,4,0,6,0,17.9
7,3,7,2,6,2,5,3,2,3,12,13.61
6,8,6,2,0,0,2,1,5,2,0,9.74
4,10,6,2,3,5,1,1,5,4,15,13.43
1,13,3,3,2,2,3,1,1,5,2,13.18
6,3,9,3,10,5,1,2,0,6,0,15.87
6,8,5,2,0,5,1,5,4,3,0,15.3
2,9,2,2,5,2,2,1,0,5,0,16.34
2,12,10,3,6,4,1,5,4,3,24,19.0
4,11,10,3,10,4,4,4,0,5,0,17.08
1,2,7,2,0,2,1,1,4,1,0,10.79
6,18,3,1,10,4,5,3,4,5,40,19.21
4,9,1,1,0,0,1,2,2,6,0,10.58
4,2,3,2,6,2,1,3,3,6,18,16.61
5,2,9,2,10,5,5,2,3,5,30,17.77
7,3,5,1,5,2,3,1,5,6,25,14.92
1,19,3,2,7,4,3,5,5,4,35,17.44
6,4,4,3,7,2,4,2,3,5,21,16.82
4,18,1,1,8,1,5,4,1,6,8,13.76
6,20,3,1,8,1,4,3,2,3,16,15.49
5,18,7,2,6,0,4,4,1,3,6,12.72
1,10,4,1,8,2,4,2,3,3,24,13.98
4,11,2,3,5,2,5,4,4,2,20,19.26
6,17,5,1,8,5,2,2,1,3,8,15.04
2,20,5,2,10,4,2,5,3,1,30,15.22
7,16,2,3,1,5,3,5,3,3,3,16.42
5,20,6,2,10,3,4,4,4,4,40,15.0
1,13,10,1,1,5,3,4,0,4,0,13.87
5,2,4,2,5,3,4,2,3,2,15,13.23
2,2,1,2,2,2,3,5,2,4,4,16.35
1,14,3,1,1,0,1,4,5,6,5,12.96
5,4,9,2,7,1,5,2,4,3,28,13.27
3,17,10,3,6,2,4,2,0,6,0,15.93
2,4,6,1,5,0,4,3,5,2,25,12.24
2,3,1,1,8,0,5,1,1,6,8,13.86
3,12,9,2,8,3,1,2,3,1,24,16.52
3,8,9,2,1,2,2,5,3,6,3,17.07
6,2,1,2,9,2,5,1,4,6,36,14.85
4,6,6,3,4,4,1,2,1,1,4,15.4
7,10,7,3,8,1,3,3,5,4,40,15.94
5,12,2,1,2,4,4,1,4,3,8,13.67
6,10,10,3,4,4,4,5,2,1,8,15.18
5,10,8,1,7,1,2,1,3,6,21,13.14
4,20,6,1,5,3,1,2,2,5,10,13.39
3,10,9,1,10,1,3,4,0,3,0,14.59
4,9,3,3,3,0,3,3,5,3,15,16.24
3,20,2,2,5,2,2,1,3,5,15,14.7
