degree_type,technical_skills,soft_skills,cgpa,projects,internships,communication_level,technical_skill_level,years_of_experience,specialization,package
B.Tech,20,9,8.66,3,1,4,2,2,Cloud Computing,17.21
B.Sc,1,5,8.88,3,4,2,3,0,Cybersecurity,17.76
M.Tech,17,10,5.34,5,0,2,5,3,App Development,15.45
PhD,12,6,6.02,8,0,2,5,4,App Development,12.03
M.Tech,10,4,9.87,9,2,4,1,3,Web Development,16.82
PhD,5,10,8.47,5,5,3,1,4,Cybersecurity,17.62
B.Tech,18,1,7.81,5,1,5,3,4,Cybersecurity,13.4
PhD,15,4,6.83,6,3,3,5,4,AI/ML,17.58
M.Tech,6,2,5.22,6,5,2,1,3,None,14.07
B.Sc,7,10,6.85,0,3,5,4,0,None,16.63
M.Sc,17,3,7.49,7,4,5,5,4,None,15.1
M.Tech,6,7,6.06,0,3,3,2,5,Cloud Computing,13.98
PhD,8,7,5.87,8,3,4,5,0,None,17.56
M.Sc,12,1,7.54,3,0,1,4,4,Cybersecurity,14.74
PhD,14,8,7.93,8,0,4,2,0,Web Development,14.04
B.Sc,12,7,6.2,7,0,4,5,5,Cloud Computing,12.92
PhD,10,1,7.94,8,3,5,2,5,Cloud Computing,18.98
B.Tech,20,8,9.5,5,4,2,2,0,Web Development,14.46
BCA,15,2,7.37,8,1,2,3,0,Web Development,17.2
M.Tech,7,8,9.29,3,2,5,4,1,App Development,15.79
BCA,9,3,9.64,2,4,4,3,5,Web Development,18.89
PhD,10,10,5.46,2,0,3,5,5,Cybersecurity,13.35
B.Sc,10,7,5.48,7,4,1,2,3,App Development,16.35
M.Tech,16,6,7.38,1,1,4,5,4,Cloud Computing,14.46
PhD,7,5,7.94,5,5,4,5,4,App Development,19.71
M.Sc,5,10,7.13,8,0,1,3,1,Cloud Computing,12.57
MCA,3,2,6.63,8,1,3,5,0,Data Science,15.31
PhD,18,2,8.2,7,5,1,4,0,None,17.95
BCA,11,1,5.01,7,2,5,2,4,Data Science,12.3
M.Tech,15,9,9.84,0,4,1,1,2,None,15.25
BCA,20,8,6.16,10,2,1,4,4,Data Science,14.78
M.Tech,5,8,9.59,6,3,4,1,4,App Development,16.62
PhD,12,1,5.55,0,4,4,1,1,Cybersecurity,13.83
B.Tech,4,5,6.19,8,5,2,3,0,App Development,14.99
M.Sc,15,6,6.17,2,3,1,1,3,Cybersecurity,10.78
PhD,9,2,9.98,0,1,5,2,4,Web Development,12.88
BCA,7,10,5.02,7,3,2,3,4,Cybersecurity,13.87
MCA,10,5,8.2,6,5,1,4,3,Cloud Computing,15.86
MCA,13,6,9.35,1,5,4,4,1,Cloud Computing,18.27
B.Sc,8,9,8.36,6,1,5,4,2,None,16.4
M.Tech,12,10,6.81,4,2,3,5,1,App Development,15.3
BCA,19,1,9.79,6,0,2,3,4,None,14.97
B.Sc,1,10,9.47,9,2,4,3,1,AI/ML,17.69
BCA,16,3,7.17,6,3,3,3,5,AI/ML,13.12
M.Tech,17,9,7.87,1,1,1,2,3,None,13.73
PhD,18,1,9.84,1,3,5,3,1,Cybersecurity,14.6
PhD,11,1,9.91,6,5,4,2,4,None,16.7
MCA,18,1,7.25,2,0,4,4,3,App Development,12.11
PhD,7,7,9.24,3,4,5,5,3,App Development,18.96
PhD,18,5,6.51,6,4,4,1,4,AI/ML,14.33
B.Tech,8,6,6.86,1,4,4,5,4,Cybersecurity,13.87
MCA,6,8,5.82,1,3,1,5,4,Web Development,11.72
B.Sc,7,2,6.05,8,4,2,5,2,Web Development,15.02
M.Sc,10,2,8.28,10,1,3,1,4,AI/ML,16.1
B.Tech,11,3,7.55,0,0,5,2,1,Cybersecurity,14.42
B.Sc,13,3,6.16,2,5,3,4,5,AI/ML,13.74
M.Tech,9,3,7.01,9,2,5,1,0,Cloud Computing,13.6
B.Tech,7,4,6.87,3,5,5,4,2,Cybersecurity,17.29
B.Sc,9,3,9.94,4,1,4,2,2,Data Science,18.05
M.Tech,13,2,9.27,2,0,1,4,0,Cloud Computing,14.63
MCA,3,9,6.94,8,2,5,2,1,Cybersecurity,16.62
M.Sc,3,6,9.57,4,4,3,1,2,AI/ML,16.72
M.Tech,1,3,6.71,6,2,2,1,2,App Development,11.75
PhD,20,9,8.34,10,3,3,4,4,AI/ML,19.74
BCA,2,4,9.83,6,3,1,4,5,AI/ML,14.86
M.Tech,3,4,6.95,10,4,2,5,3,Cybersecurity,18.57
M.Tech,15,8,8.4,8,4,4,5,2,AI/ML,20.74
M.Sc,6,7,6.48,1,1,3,4,5,None,11.68
BCA,13,7,6.33,2,1,3,5,1,None,11.46
PhD,1,10,7.87,3,5,5,4,3,Cybersecurity,17.75
B.Sc,20,7,9.9,7,3,5,3,0,None,18.52
B.Sc,19,10,7.27,0,0,2,5,2,Cybersecurity,15.71
M.Tech,1,5,9.69,8,1,4,4,1,AI/ML,18.18
BCA,2,7,9.57,4,0,5,3,5,Web Development,14.92
BCA,15,4,6.27,3,5,3,5,0,Web Development,16.23
PhD,14,8,7.01,7,3,2,1,4,None,14.91
M.Sc,19,9,8.22,8,1,5,4,4,Cloud Computing,18.07
MCA,11,3,7.59,2,0,5,1,3,Cybersecurity,11.23
B.Sc,15,7,5.48,3,5,1,5,0,AI/ML,15.76
M.Sc,6,10,9.97,0,0,2,3,3,App Development,16.62
B.Tech,20,9,8.76,2,1,2,4,0,None,15.28
B.Sc,9,1,7.19,9,4,4,3,5,AI/ML,14.55
M.Sc,5,2,8.09,4,5,5,1,0,AI/ML,15.18
B.Sc,20,7,5.44,7,5,2,4,4,Web Development,15.59
MCA,2,2,7.48,0,2,4,1,3,Data Science,14.62
B.Tech,6,7,9.65,0,4,5,1,4,App Development,16.47
MCA,18,1,9.48,2,5,3,3,0,Cybersecurity,15.07
PhD,19,3,6.69,8,2,1,5,4,Cloud Computing,16.61
B.Tech,9,5,7.66,8,0,4,1,3,Cloud Computing,15.99
M.Tech,6,6,8.49,0,1,1,1,3,None,10.32
M.Sc,14,9,6.7,3,5,3,2,1,Cloud Computing,13.16
B.Tech,13,9,5.32,7,3,2,3,4,Cybersecurity,15.85
PhD,11,3,7.53,1,1,5,1,1,Cybersecurity,14.32
PhD,12,8,8.01,3,4,2,2,0,Cloud Computing,16.82
MCA,19,4,5.03,6,2,1,3,5,Cloud Computing,13.55
B.Sc,19,7,5.48,6,1,2,4,4,AI/ML,13.33
B.Tech,19,6,6.04,4,2,2,5,2,App Development,16.84
M.Sc,13,8,6.74,6,4,4,3,1,Data Science,17.54
B.Tech,14,6,7.71,5,4,4,1,3,Web Development,15.29
BCA,18,4,6.47,1,1,3,2,1,Cybersecurity,14.82
B.Sc,12,2,6.38,8,5,4,2,4,Data Science,18.9
M.Sc,4,7,9.35,4,3,4,4,1,Cloud Computing,16.25
M.Sc,10,4,5.73,1,5,4,2,3,None,15.6
M.Tech,17,9,7.48,5,3,4,1,1,App Development,12.81
MCA,4,9,9.76,9,2,3,3,1,Cloud Computing,15.83
M.Tech,12,7,8.13,4,1,4,4,2,Cloud Computing,13.78
M.Sc,13,5,8.59,1,0,4,5,0,Cloud Computing,14.34
B.Sc,4,3,7.16,9,4,1,5,3,AI/ML,17.21
B.Tech,10,3,5.1,9,5,4,1,0,Cybersecurity,16.56
B.Tech,3,9,8.23,6,2,3,4,2,Cloud Computing,18.15
B.Sc,15,9,8.16,9,4,3,4,5,Cloud Computing,15.99
M.Sc,2,4,5.55,1,2,2,1,5,Cybersecurity,12.42
PhD,17,1,7.31,6,1,4,4,4,Web Development,15.66
B.Tech,6,10,9.58,5,2,5,2,4,AI/ML,16.34
PhD,8,5,6.03,3,2,2,2,2,AI/ML,14.09
B.Tech,3,8,7.31,3,0,3,1,4,None,11.85
B.Tech,18,10,7.31,5,2,2,1,4,None,13.14
MCA,1,4,9.05,8,3,5,2,1,Data Science,19.35
MCA,16,10,9.12,9,2,1,3,1,AI/ML,18.07
BCA,7,10,8.8,5,2,5,1,1,None,15.07
M.Tech,3,4,6.83,5,1,2,2,5,None,10.78
B.Sc,4,9,5.36,10,2,4,3,2,Data Science,17.41
B.Sc,9,9,6.75,0,0,1,3,5,Web Development,12.66
B.Sc,5,7,8.4,4,1,5,2,4,Cybersecurity,16.68
BCA,19,10,8.51,0,4,4,2,0,Cloud Computing,13.38
MCA,15,8,9.83,10,3,5,4,5,App Development,20.98
M.Sc,8,4,7.27,8,3,3,3,3,Data Science,17.03
PhD,6,8,8.16,9,4,4,5,4,None,18.32
PhD,18,6,7.7,3,2,3,4,5,None,12.27
M.Sc,19,3,5.75,1,0,1,4,2,App Development,13.11
BCA,15,7,7.31,8,0,1,3,1,App Development,11.87
M.Sc,7,3,7.72,5,0,1,3,3,AI/ML,11.41
B.Sc,10,7,9.75,10,0,1,3,5,None,13.98
M.Tech,6,5,6.83,9,2,3,1,3,App Development,12.31
B.Tech,14,4,9.9,2,4,3,2,3,Cloud Computing,14.84
PhD,17,3,7.71,1,4,2,2,0,Web Development,15.86
MCA,9,8,6.21,5,3,2,2,5,Cybersecurity,15.8
MCA,19,4,5.96,9,4,3,3,5,Data Science,14.37
BCA,5,8,5.71,5,0,1,4,1,AI/ML,14.44
MCA,7,10,7.26,8,2,2,3,1,App Development,15.16
B.Sc,19,3,5.11,4,1,4,3,1,App Development,15.56
PhD,20,10,7.23,10,1,3,4,1,Cloud Computing,14.03
M.Sc,7,9,9.94,8,0,4,5,4,Cloud Computing,15.03
B.Sc,2,6,8.35,4,5,1,1,3,Cloud Computing,17.24
BCA,16,5,8.8,1,3,3,5,3,Cybersecurity,15.69
B.Sc,13,5,5.6,0,1,2,3,3,Data Science,11.95
M.Sc,8,3,7.37,8,5,2,2,2,Cybersecurity,16.48
M.Tech,6,2,6.43,9,0,4,2,1,App Development,15.78
BCA,6,6,9.47,6,2,3,4,4,AI/ML,14.76
M.Tech,9,1,5.91,2,1,1,3,4,Data Science,12.7
B.Tech,4,7,7.29,5,0,5,4,5,Web Development,14.63
M.Tech,11,5,7.94,9,1,5,4,5,Web Development,15.87
B.Tech,5,4,7.57,3,2,1,1,2,App Development,12.58
B.Tech,17,9,9.15,8,4,2,4,2,Cybersecurity,19.94
M.Tech,20,10,6.16,1,4,5,3,5,Cybersecurity,13.94
BCA,7,1,6.89,10,2,1,1,5,App Development,14.11
M.Sc,15,4,8.96,3,2,4,2,3,Cybersecurity,15.44
B.Sc,15,3,7.64,0,4,2,1,3,Web Development,15.18
B.Sc,14,6,7.01,6,2,1,3,3,Web Development,14.5
M.Sc,13,5,5.15,3,2,4,5,3,Data Science,15.0
PhD,11,7,8.77,4,2,3,1,5,App Development,14.36
PhD,13,1,9.86,0,4,5,5,3,Data Science,19.01
B.Tech,9,5,8.1,1,4,5,1,5,Cybersecurity,15.29
B.Tech,10,2,9.28,3,5,5,1,1,App Development,15.68
BCA,4,2,7.58,1,1,1,4,4,Cloud Computing,15.23
MCA,17,2,6.16,0,4,3,5,1,Data Science,16.42
M.Tech,14,9,5.07,9,1,1,5,4,Web Development,14.78
B.Tech,18,10,8.27,0,4,1,1,0,None,13.27
B.Sc,11,3,7.47,5,3,3,3,0,AI/ML,14.12
BCA,16,4,8.91,1,1,4,3,0,None,15.79
M.Tech,1,5,8.47,2,2,2,5,4,Cloud Computing,13.57
BCA,7,4,9.94,4,3,5,4,2,App Development,17.28
M.Tech,10,4,7.55,2,5,3,4,1,Web Development,18.19
M.Tech,9,5,7.14,5,4,4,3,2,Cloud Computing,16.66
M.Sc,3,10,6.43,6,4,3,4,4,AI/ML,15.75
B.Tech,14,9,7.38,9,5,2,1,3,App Development,17.68
BCA,15,9,9.36,5,3,3,1,2,Cybersecurity,18.36
BCA,2,6,5.21,1,0,3,5,4,Cloud Computing,11.17
M.Sc,14,3,9.89,8,2,4,2,0,AI/ML,14.79
B.Sc,16,6,9.97,1,1,5,3,3,None,14.7
B.Sc,7,10,7.99,5,3,5,3,0,AI/ML,15.43
PhD,4,4,6.66,8,1,4,2,2,Cloud Computing,15.43
B.Tech,18,3,6.12,8,4,4,4,2,None,15.54
B.Tech,5,6,6.38,1,0,1,1,1,App Development,11.22
MCA,6,6,5.25,8,5,1,1,1,Cloud Computing,13.72
M.Sc,7,2,7.38,7,0,2,3,4,None,11.68
B.Sc,15,9,5.29,6,1,1,3,5,Cloud Computing,11.44
M.Tech,1,8,8.59,10,5,1,4,2,Cloud Computing,17.49
BCA,4,6,6.86,7,4,3,4,0,Cybersecurity,17.43
B.Tech,1,1,6.0,9,5,3,3,1,None,14.69
BCA,11,2,7.72,7,5,4,4,0,Web Development,16.96
BCA,18,4,9.87,0,0,5,2,4,Data Science,14.35
MCA,14,7,8.48,8,2,2,1,5,Cybersecurity,17.64
B.Sc,11,9,7.46,5,4,1,3,0,Cloud Computing,13.43
B.Tech,10,10,8.88,0,3,3,2,0,AI/ML,14.0
BCA,17,5,8.69,0,3,5,2,3,App Development,14.47
B.Tech,4,10,9.46,6,3,1,5,4,Cybersecurity,19.55
M.Tech,15,2,6.02,9,2,5,3,5,Data Science,15.15
MCA,16,1,9.29,1,4,3,5,1,App Development,17.51
M.Tech,13,10,6.51,5,5,4,2,3,Data Science,14.4
B.Tech,9,1,9.7,4,1,1,3,2,None,11.68
PhD,11,5,6.41,4,1,1,5,2,Cybersecurity,13.14
B.Tech,11,7,9.63,9,4,2,1,1,AI/ML,17.77
B.Sc,6,9,9.82,5,2,1,3,5,None,15.85
BCA,1,9,5.73,10,4,3,5,5,AI/ML,18.11
BCA,6,8,9.87,7,1,5,4,4,App Development,19.23
M.Tech,13,1,5.43,4,4,5,3,2,AI/ML,13.34
MCA,5,5,6.09,7,3,4,4,2,Web Development,13.77
PhD,15,6,7.22,4,5,4,3,2,AI/ML,17.97
M.Sc,18,6,9.97,9,4,3,5,4,Data Science,18.86
BCA,20,4,7.44,5,5,5,5,2,App Development,20.2
B.Sc,14,1,7.75,7,0,4,3,1,Cloud Computing,17.17
M.Tech,15,3,8.47,1,4,4,2,1,Cloud Computing,13.99
M.Tech,5,10,9.84,6,1,2,5,1,None,16.66
M.Sc,4,4,8.92,2,1,2,3,3,Data Science,12.39
B.Sc,2,4,6.12,8,5,3,3,1,AI/ML,15.89
MCA,7,4,6.51,9,1,3,1,0,Cloud Computing,15.71
B.Sc,10,5,5.49,6,3,3,4,2,None,13.8
MCA,16,9,8.22,2,1,3,1,1,App Development,11.3
B.Sc,10,4,5.9,7,0,5,4,5,Data Science,13.24
B.Sc,18,9,6.29,9,4,1,4,5,AI/ML,13.91
B.Tech,17,9,9.44,1,2,3,1,5,Web Development,14.21
M.Tech,13,1,6.63,9,1,2,2,5,None,14.16
B.Sc,1,5,7.83,7,4,1,3,4,Cloud Computing,16.9
M.Sc,1,9,6.99,6,3,1,5,5,App Development,16.79
B.Sc,15,4,5.37,4,4,5,3,4,AI/ML,14.64
BCA,1,5,6.81,3,1,4,1,4,App Development,12.11
M.Tech,6,4,7.04,10,1,1,2,3,AI/ML,12.11
BCA,13,2,9.48,9,5,5,5,5,App Development,22.2
M.Tech,1,10,6.62,9,1,5,5,4,Cloud Computing,14.36
BCA,5,2,6.9,0,0,5,2,3,AI/ML,11.33
B.Sc,9,2,8.91,3,4,3,5,2,App Development,14.97
B.Sc,17,1,8.79,5,5,4,5,0,Cybersecurity,17.56
B.Tech,16,3,8.99,5,2,3,2,4,Cybersecurity,17.19
M.Sc,8,10,9.77,1,0,2,1,4,Web Development,12.72
BCA,17,1,8.98,8,2,4,1,3,Data Science,16.92
MCA,15,4,7.04,0,1,3,5,3,Cybersecurity,16.45
B.Tech,1,1,9.11,3,2,4,1,0,Cybersecurity,17.13
BCA,12,4,7.54,3,2,2,1,1,Web Development,12.02
BCA,5,3,6.39,1,0,3,5,3,Cybersecurity,12.73
B.Tech,6,9,6.51,7,0,4,5,0,Cybersecurity,16.26
B.Sc,1,1,6.12,10,4,2,1,2,None,16.56
BCA,1,8,5.72,1,2,5,4,5,App Development,15.31
B.Sc,10,9,5.92,1,0,4,2,4,Cloud Computing,11.01
B.Tech,10,7,5.32,1,4,2,1,4,None,10.06
B.Sc,3,1,9.44,0,2,5,1,0,Web Development,15.04
M.Tech,17,4,9.66,4,2,2,4,0,AI/ML,14.76
MCA,19,10,7.93,10,5,1,3,4,AI/ML,15.9
PhD,11,1,9.2,3,1,2,3,3,Data Science,15.59
BCA,18,4,5.92,1,0,3,2,1,None,11.03
M.Sc,2,3,9.51,0,3,3,5,2,Data Science,14.71
MCA,9,2,7.53,0,5,3,1,1,Cybersecurity,13.09
PhD,17,1,5.34,1,0,3,4,1,Cybersecurity,10.0
B.Sc,14,6,5.71,0,5,1,5,1,AI/ML,13.32
BCA,4,7,6.54,8,1,1,5,4,Web Development,16.76
B.Sc,17,6,5.22,1,5,1,3,1,None,14.3
M.Tech,17,9,6.55,2,5,5,1,3,Cloud Computing,14.8
B.Tech,12,9,5.3,8,4,4,2,3,App Development,16.49
BCA,20,2,6.18,4,0,3,4,3,Data Science,13.04
PhD,18,2,6.33,7,2,4,1,0,Cybersecurity,15.76
PhD,3,9,9.97,6,3,3,5,2,Data Science,16.49
M.Tech,11,1,6.18,5,4,3,5,3,AI/ML,14.37
M.Tech,18,5,6.2,1,0,3,2,1,Web Development,10.01
BCA,4,1,8.43,3,4,1,3,0,None,13.37
B.Sc,17,7,9.3,8,2,5,2,4,AI/ML,15.21
M.Sc,18,9,6.94,6,5,3,2,3,Cloud Computing,17.56
PhD,5,6,9.38,2,3,3,1,1,Web Development,14.03
PhD,14,2,6.7,5,2,3,3,1,Cloud Computing,14.7
M.Tech,10,6,5.99,7,3,2,5,5,Cloud Computing,16.87
MCA,15,9,6.65,7,4,3,3,4,Web Development,16.88
M.Tech,1,3,8.05,7,5,1,1,0,Cloud Computing,14.45
M.Sc,16,9,6.84,7,5,1,1,1,Data Science,13.09
B.Sc,11,8,8.36,9,0,4,2,2,Cybersecurity,17.37
B.Sc,20,7,6.18,5,3,1,1,3,Web Development,14.02
MCA,6,8,8.5,10,2,4,3,0,AI/ML,18.03
PhD,16,10,6.74,9,3,5,2,3,AI/ML,15.57
M.Tech,2,6,7.28,10,4,2,2,3,Cybersecurity,14.98
B.Sc,1,3,7.79,2,5,1,2,4,AI/ML,15.33
M.Sc,9,7,8.43,8,4,3,3,2,Cybersecurity,15.15
BCA,12,4,6.19,2,4,5,2,2,Data Science,16.41
B.Tech,17,10,9.18,3,0,3,4,4,None,14.88
B.Tech,15,5,8.61,9,4,4,4,3,None,18.57
B.Tech,19,8,6.17,0,0,4,3,2,AI/ML,12.95
PhD,10,7,9.87,1,1,2,5,3,AI/ML,16.11
M.Tech,12,7,8.32,5,3,5,5,0,Data Science,17.99
MCA,14,8,7.26,0,5,4,2,4,AI/ML,16.78
B.Sc,9,10,5.79,8,5,3,3,4,AI/ML,14.8
BCA,13,3,7.67,7,2,1,2,2,Data Science,15.51
M.Sc,3,3,5.82,1,5,1,2,5,App Development,14.06
BCA,14,2,7.15,1,0,5,4,5,Data Science,14.07
M.Sc,10,1,7.04,7,5,5,1,0,App Development,16.73
PhD,16,10,8.6,10,0,4,3,3,Data Science,14.92
M.Tech,7,6,5.96,7,5,1,1,2,None,11.36
B.Tech,4,6,9.11,0,2,2,4,3,App Development,16.46
M.Tech,20,10,6.63,4,3,2,1,0,AI/ML,15.86
PhD,11,8,7.22,10,4,2,4,1,Cybersecurity,16.94
MCA,16,6,8.86,1,3,2,5,2,App Development,17.81
MCA,20,6,8.13,0,0,4,4,5,Cybersecurity,14.45
PhD,4,1,6.54,2,4,3,3,5,None,16.08
M.Sc,17,7,6.93,2,1,2,5,2,Web Development,14.2
B.Sc,13,7,6.53,9,2,4,2,4,Web Development,13.74
B.Sc,11,10,7.97,8,3,2,3,1,None,17.03
M.Sc,3,9,6.66,9,4,2,3,5,AI/ML,17.6
MCA,9,7,8.63,0,2,3,3,5,AI/ML,14.27
MCA,6,8,7.9,10,3,2,1,5,Cybersecurity,17.45
MCA,11,4,5.73,1,0,4,1,5,Cloud Computing,9.28
M.Tech,16,9,6.55,8,0,4,2,2,None,14.53
MCA,19,1,6.11,4,0,1,1,3,Web Development,12.61
BCA,5,8,6.95,8,1,5,3,0,Cybersecurity,14.87
B.Tech,14,3,7.58,5,5,2,4,1,AI/ML,18.21
MCA,17,1,7.53,9,0,2,2,4,Web Development,12.35
M.Sc,3,2,8.77,9,0,4,2,4,Web Development,14.08
B.Tech,4,6,5.95,2,5,2,3,3,App Development,14.94
M.Tech,16,5,9.73,7,0,4,5,0,Web Development,18.84
M.Sc,16,3,6.71,8,4,1,1,4,None,11.98
B.Tech,4,9,6.5,1,2,2,5,4,AI/ML,14.52
M.Sc,19,8,8.43,8,1,1,3,0,Cybersecurity,16.42
M.Tech,17,3,9.03,3,3,1,5,1,Cloud Computing,17.53
BCA,13,2,6.89,7,5,5,3,2,AI/ML,17.87
M.Tech,1,8,8.73,4,5,4,1,2,Web Development,18.84
M.Tech,12,5,9.42,5,5,1,1,0,App Development,16.26
M.Sc,4,9,8.83,3,1,4,2,0,App Development,16.8
PhD,11,1,5.17,4,2,5,5,5,None,14.5
B.Sc,5,10,9.14,0,0,4,5,0,None,15.37
MCA,2,3,8.87,2,5,5,5,3,Data Science,18.05
MCA,17,5,8.35,3,0,2,5,3,Cybersecurity,13.05
BCA,8,2,8.8,0,3,5,4,0,AI/ML,14.43
BCA,6,3,9.9,2,5,5,2,3,Web Development,18.55
MCA,9,4,7.16,3,1,5,2,2,None,12.58
B.Sc,13,4,5.34,8,1,3,4,0,Cloud Computing,14.64
MCA,11,9,7.3,2,3,1,5,2,App Development,16.31
PhD,16,1,5.23,10,1,4,4,2,Web Development,16.37
B.Sc,16,9,6.47,2,1,4,5,3,Web Development,14.53
BCA,2,9,7.93,3,1,3,4,4,AI/ML,13.93
B.Tech,10,6,6.55,8,5,2,2,4,App Development,17.31
M.Sc,12,1,8.43,8,3,1,4,1,Cloud Computing,16.13
PhD,8,6,9.11,0,5,1,3,1,App Development,18.15
PhD,11,8,7.1,7,3,1,5,4,Data Science,17.58
BCA,10,5,9.5,9,2,1,4,0,App Development,18.13
BCA,13,5,5.4,0,1,3,5,4,App Development,11.85
M.Tech,17,1,9.2,1,2,4,1,5,AI/ML,14.13
PhD,7,1,9.14,9,4,2,5,3,App Development,20.13
M.Tech,3,8,6.61,10,4,2,4,4,Cybersecurity,14.28
M.Tech,20,5,6.49,4,1,2,5,0,Cloud Computing,15.7
M.Sc,13,8,6.53,10,0,3,3,0,Data Science,14.04
M.Tech,19,10,9.06,10,4,3,3,1,Data Science,19.53
B.Sc,7,2,9.16,5,0,5,4,1,Cloud Computing,16.36
MCA,9,4,6.65,1,2,3,4,0,Cybersecurity,14.32
B.Tech,19,10,7.96,9,1,1,5,2,None,15.88
BCA,13,9,5.69,4,2,4,2,5,Web Development,15.25
B.Sc,8,3,7.34,2,5,2,3,1,AI/ML,16.57
B.Tech,18,6,9.99,6,2,3,3,5,None,15.55
PhD,2,7,5.79,0,3,4,1,3,Cybersecurity,12.18
PhD,18,3,9.74,4,1,1,1,2,App Development,16.07
PhD,18,1,9.12,2,3,3,2,3,Data Science,15.68
B.Sc,11,2,9.86,10,2,3,3,3,App Development,18.93
B.Sc,1,10,5.9,1,0,4,4,5,Cybersecurity,15.52
BCA,14,7,6.07,2,1,1,3,0,Web Development,13.26
MCA,16,7,5.08,9,1,3,4,2,App Development,13.24
M.Tech,11,1,8.62,3,4,4,4,1,Cybersecurity,18.9
PhD,1,10,8.22,10,0,1,2,0,Cybersecurity,13.4
M.Sc,7,7,5.89,1,5,3,3,4,App Development,13.64
MCA,16,10,8.96,1,0,3,5,1,Data Science,12.85
M.Sc,14,6,6.5,2,2,2,3,4,Cybersecurity,11.49
BCA,15,6,5.67,1,2,5,3,0,App Development,15.61
BCA,14,7,7.11,5,2,1,1,3,AI/ML,12.12
BCA,11,7,5.45,1,4,4,2,3,Cloud Computing,12.01
B.Tech,16,1,6.32,0,0,2,5,2,App Development,12.15
M.Sc,19,10,6.86,7,3,3,5,1,None,16.48
MCA,17,5,9.26,9,0,4,5,4,Data Science,16.25
MCA,6,8,8.96,3,3,2,4,4,Cloud Computing,15.22
B.Sc,11,8,7.21,1,1,2,2,2,Cybersecurity,12.87
B.Sc,17,3,8.62,3,3,5,1,5,Web Development,13.28
PhD,9,3,7.84,10,1,2,4,5,App Development,15.86
B.Sc,18,7,6.7,1,5,1,5,1,App Development,17.97
BCA,17,4,8.63,10,5,5,4,3,Data Science,20.77
MCA,12,6,8.42,4,2,5,4,5,Cybersecurity,14.3
M.Sc,5,9,8.1,6,0,3,5,0,Cybersecurity,16.23
BCA,11,10,8.09,5,2,3,5,2,Web Development,16.06
B.Tech,4,2,8.41,1,0,1,1,0,Cybersecurity,14.08
B.Sc,4,2,6.92,10,3,4,2,0,AI/ML,14.14
BCA,3,6,9.35,3,0,1,3,2,None,11.87
BCA,17,3,5.81,7,3,5,3,4,Web Development,17.04
B.Tech,7,1,9.42,6,0,3,3,1,Data Science,17.2
M.Tech,4,2,6.71,6,1,1,1,4,Data Science,13.07
MCA,13,7,5.63,3,3,3,4,3,Cloud Computing,12.08
M.Sc,12,4,8.0,0,2,1,5,1,AI/ML,16.57
PhD,1,2,6.88,6,2,1,2,2,App Development,13.34
M.Tech,19,8,9.08,5,2,2,3,2,AI/ML,13.45
B.Sc,20,4,7.15,7,2,1,2,2,None,14.88
BCA,18,4,8.34,10,1,3,2,0,Data Science,15.29
B.Tech,11,2,6.54,4,1,1,5,2,Cybersecurity,12.47
B.Tech,20,1,6.05,7,4,4,1,3,None,15.64
MCA,3,1,6.94,9,4,2,5,3,App Development,16.85
M.Tech,17,3,8.03,10,4,1,1,2,AI/ML,16.56
PhD,12,6,8.28,7,5,4,4,1,AI/ML,19.78
MCA,10,7,7.89,8,4,3,2,3,Cybersecurity,16.65
BCA,8,9,9.94,0,0,4,3,1,None,11.92
MCA,15,5,8.46,2,5,2,2,1,Web Development,18.19
M.Sc,5,9,9.66,10,3,3,5,1,Cybersecurity,17.63
B.Tech,4,8,5.59,5,2,1,1,2,Cloud Computing,15.03
B.Tech,20,1,5.31,3,0,1,4,5,Cloud Computing,9.72
B.Sc,19,3,6.55,7,5,4,4,0,App Development,17.05
B.Sc,4,8,5.68,9,1,1,1,2,Data Science,13.93
PhD,15,9,7.63,0,2,3,1,3,Web Development,15.41
BCA,17,4,7.59,4,3,3,1,3,AI/ML,16.06
M.Sc,12,6,7.88,3,3,1,4,3,App Development,14.01
M.Tech,3,4,8.73,0,1,4,2,3,Data Science,12.95
MCA,10,9,9.86,9,2,1,2,5,Data Science,15.6
PhD,15,2,9.39,5,4,5,4,0,App Development,16.29
BCA,10,6,5.59,9,2,1,3,5,App Development,15.0
B.Sc,18,3,6.69,2,2,2,5,1,AI/ML,16.72
MCA,1,10,6.28,10,3,1,4,2,AI/ML,16.38
B.Sc,3,4,5.88,10,1,5,3,3,Cybersecurity,15.39
MCA,12,2,7.72,4,2,2,5,1,None,14.55
M.Tech,1,8,7.77,5,0,4,2,2,Cloud Computing,14.63
BCA,3,10,6.14,3,0,2,1,0,AI/ML,12.84
MCA,3,8,8.56,9,1,3,5,4,Cybersecurity,18.31
M.Sc,5,1,8.66,9,4,5,1,0,None,17.39
PhD,19,10,5.1,5,5,3,3,4,Cloud Computing,16.19
B.Tech,1,6,6.98,6,2,3,4,3,Web Development,17.65
M.Sc,4,1,9.45,1,5,2,4,1,Web Development,19.07
M.Sc,4,6,7.6,6,2,2,1,5,Web Development,15.88
PhD,17,7,6.74,6,3,3,5,1,AI/ML,13.86
B.Tech,14,2,6.27,1,2,4,5,2,Cloud Computing,15.51
M.Sc,18,9,6.22,2,5,1,3,4,App Development,14.41
MCA,1,8,5.5,2,4,1,4,4,None,13.69
